Position,Player Name,Team Name,Nationality,Height,Weight,Age,Condition,Overall Rating
CF,J. TELL,ORLÉANS,FRANCE,185,74,21,C,61
SS,L. SINGH,SPORTING BRAGA,SOUTH AFRICA,171,60,21,C,61
GK,M. BREIT,UNIVERSIDAD CATÓLICA,CHILE,180,70,23,C,61
CMF,G. GÜNEY,GALATASARAY,TURKEY,177,64,19,C,61
CMF,F. YSIQUE,SPORTING CRISTAL,PERU,168,67,22,C,61
GK,F. ANDERSSON,MALMÖ FF,SWEDEN,196,91,30,C,61
CB,F. DUCLÓS,ALIANZA LIMA,PERU,182,76,22,C,61
RB,F. ALLAIN,ALIANZA LIMA,PERU,183,70,21,C,61
RMF,J. MARINA,ALIANZA LIMA,PERU,181,73,21,C,61
CF,L. RAJOT,CLERMONT,FRANCE,179,68,21,C,61
CF,I. HUGUENET,DEFENSA Y JUSTICIA,ARGENTINA,187,78,20,C,61
RWF,A. MAKAROV,CSKA MOSKVA,RUSSIA,178,73,22,C,61
CMF,A. PEREA,ATLÉTICO NACIONAL,COLOMBIA,183,75,18,C,61
CB,W. BIANDA,ROMA,FRANCE,185,82,18,C,61
CMF,N. RASKIN,GENT,BELGIUM,180,78,17,C,61
CMF,K. ALPHONSE,FEIRENSE,CÔTE D'IVOIRE,180,73,25,C,61
GK,M. MIÑO,ROSARIO CENTRAL,ARGENTINA,186,72,21,C,61
GK,L. ATI-ZIGI,SOCHAUX,GHANA,188,83,22,C,61
CMF,BRUNO JORDÃO,LAZIO,PORTUGAL,180,71,20,C,61
CMF,A. RINOMHOTA,BERKSHIRE BLUES,ENGLAND,175,78,21,C,61
CMF,MADGER ANTONIO,SOCHAUX,SPAIN,178,69,21,C,61
CMF,J. DOYLE-HAYES,WEST MIDLANDS VILLAGE,IRELAND,173,67,20,C,61
GK,B. VERBONG,VVV,NETHERLANDS,180,78,19,C,61
CB,CLEYLTON,BELENENSES,BRAZIL,190,83,25,C,61
CF,L. ZOHI,STRASBOURG,CÔTE D'IVOIRE,177,66,22,C,61

CMF,I. BOUZOUKIS,PANATHINAIKOS,GREECE,172,67,20,C,61
CF,A. CONNOLLY,EAST SUSSEX,IRELAND,180,78,18,C,61
CF,C.B. RICHARDSON,WEST GLAMORGAN CITY,ENGLAND,188,73,23,C,61
AMF,T. HAMILTON,YORKSHIRE ORANGE,ENGLAND,180,78,19,C,61
CB,J. KNIGHT,EAST MIDLANDS,ENGLAND,185,78,21,C,61
RB,B. VÉRITÉ,LILLE,FRANCE,176,70,19,C,61
CF,FELIPE FERREYRA,CURICÓ UNIDO,BRAZIL,175,72,20,C,61
GK,M. PATTIER,LORIENT,FRANCE,182,73,22,C,61
GK,G. KYRNATS,CSKA MOSKVA,RUSSIA,192,82,20,C,61
AMF,M. VROUSAI,OLYMPIAKOS PIRAEUS,GREECE,183,78,20,C,61
CMF,L. SHABANI,MALMÖ FF,SWEDEN,180,78,19,C,61
DMF,A. ALIBEKOV,DYNAMO KYIV,UKRAINE,182,72,20,C,61
LMF,J. KING,ST. MIRREN,ENGLAND,175,80,23,C,61
LMF,M. GUEL,LORIENT,CÔTE D'IVOIRE,175,70,19,C,61
GK,V. BAUME,SPORTING CHARLEROI,BELGIUM,185,73,21,C,61
CB,Y. SCHMID,LUZERN,SWITZERLAND,186,76,23,C,61
CF,C. NDIAYE,WAASLAND-BEVEREN,SENEGAL,188,78,22,C,61
GK,A. BODART,STANDARD LIÈGE,BELGIUM,184,75,20,C,61
LMF,B. DIONE,ROYAL EXCEL MOUSCRON,BELGIUM,180,70,21,C,61
GK,C. LIBERTIAUX,ROYAL EXCEL MOUSCRON,BELGIUM,180,78,20,C,61
RMF,F. ROHNER,ZÜRICH,SWITZERLAND,178,67,20,C,61
LB,M. KEMPTER,ZÜRICH,SWITZERLAND,181,73,23,C,61
LB,S. AW,KAS EUPEN,SENEGAL,161,70,19,C,61
CB,A. ÇELEBI,BEŞİKTAŞ,TURKEY,170,68,19,C,61
CF,L. DIABY,NICE,FRANCE,188,82,17,C,61
RB,R. FRESNEAU,ORLÉANS,FRANCE,180,78,20,C,61
DMF,J. MARCELIN,AUXERRE,FRANCE,197,78,18,C,61
CB,N. GIL,SANTA FE,COLOMBIA,182,77,21,C,61
CB,M. BERRÍO,ATLÉTICO HUILA,COLOMBIA,185,84,22,C,61
DMF,D. CAMACHO,LA EQUIDAD,COLOMBIA,178,72,21,B,61
LWF,N. BARONA,LA EQUIDAD,COLOMBIA,175,65,21,C,61
LWF,M. CORTÉS,JAGUARES DE CÓRDOBA,COLOMBIA,173,66,21,C,61

GK,J. AGUIRRE,ATLÉTICO BUCARAMANGA,COLOMBIA,180,70,26,A,61
DMF,J. TORRES,ATLÉTICO BUCARAMANGA,COLOMBIA,178,71,21,C,61
RWF,J. CAMPAZ,DEPORTES TOLIMA,COLOMBIA,165,69,18,C,61
AMF,J. OBRIAN,DEPORTES TOLIMA,COLOMBIA,166,66,23,C,61
DMF,J. MOSQUERA,ENVIGADO,COLOMBIA,179,75,22,C,61
CMF,E. PALACIOS,ALIANZA PETROLERA,COLOMBIA,178,68,22,C,61
LB,J. DUQUE,BOYACÁ CHICÓ,COLOMBIA,172,63,27,C,61
LB,Á. ANGULO,RIONEGRO ÁGUILAS,COLOMBIA,173,68,21,B,61
GK,M. LANSING,AAB,USA,193,82,24,C,61
LB,B. BYTYQI,AAB,ALBANIA,186,78,21,C,61
CMF,D. OLSEN,HOBRO,DENMARK,186,78,33,C,61
CMF,R. VINDERSLEV,SØNDERJYSKE,DENMARK,184,73,21,C,61
CMF,M. AKPINAR,TRABZONSPOR,AZERBAIJAN,170,68,19,C,61
GK,V. KARAKUŞ,KAYSERİSPOR,TURKEY,170,68,20,C,61
LMF,A. CABRERA,PALESTINO,VENEZUELA,175,72,19,C,61
CF,F. DRUIJF,AZ,NETHERLANDS,190,78,20,C,61
LMF,C. LAKIN,WEST MIDLANDS CITY,ENGLAND,172,66,19,C,61
CB,S. MCMANN,HAMILTON ACADEMICAL,SCOTLAND,180,70,22,C,61
CF,R. HARDIE,LIVINGSTON,SCOTLAND,177,62,21,C,61
LMF,F. MURRAY,HIBERNIAN,SCOTLAND,180,78,19,C,61
CMF,K. MCCLEAN,ST. JOHNSTONE,NORTHERN IRELAND,183,78,20,C,61
CB,T. TOMIYASU,SINT-TRUIDEN,JAPAN,188,78,20,C,61
LB,A. IBACACHE,EVERTON,CHILE,175,72,19,C,61
RMF,M. ZEMZEMI,STRASBOURG,TUNISIA,183,70,19,C,61
LWF,C. GAKPO,PSV,NETHERLANDS,179,64,19,C,61
CMF,C. KIRBY,SOUTH YORKSHIRE BLUES,ENGLAND,180,78,20,C,61
DMF,A. ZASEEV,UFA,RUSSIA,179,69,30,C,61
GK,M. SAFONOV,KRASNODAR,RUSSIA,191,82,19,C,61
GK,T. AKMURZIN,RUBIN KAZAN,RUSSIA,189,80,21,C,61
CMF,I. NÚÑEZ,UNIÓN ESPAÑOLA,CHILE,175,72,27,C,61
AMF,A. O'REILLY,LN WHITE,IRELAND,180,78,17,C,61
GK,A. ZUBIAURRE,PV BLUE WHITE,SPAIN,188,82,22,C,61

AMF,M. IGNATOV,SPARTAK MOSKVA,RUSSIA,187,78,18,C,61
CF,G. RASPADORI,SASSUOLO,ITALY,180,78,18,C,61
SS,FERNANDO,SANTA CLARA,BRAZIL,182,76,25,C,61
AMF,A. PALOČEVIĆ,NACIONAL,SERBIA,180,70,25,C,61
AMF,KÁKÁ,NACIONAL,BRAZIL,176,67,27,C,61
AMF,DIEGO BARCELOS,NACIONAL,BRAZIL,173,71,33,C,61
CMF,C. MERRIE,LN AZURE BLUE WHITE,ENGLAND,177,70,20,C,61
CMF,R. DEIMAN,EMMEN,NETHERLANDS,180,78,23,C,61
CMF,E. BIJLSMA,EMMEN,NETHERLANDS,186,73,20,C,61
CF,R. MOON,Free Agents,SOUTH AFRICA,180,70,22,C,61
RB,I. SMITH,Free Agents,COSTA RICA,177,68,20,C,61
AMF,B. LUBALA,WEST MIDLANDS CITY,CONGO DR,181,77,20,C,61
RB,S. LAWSON,LIVINGSTON,TOGO,179,71,24,C,61
RB,J. KRASNIQI,LUGANO,SWITZERLAND,181,74,23,C,61
AMF,A. EGORYCHEV,URAL,RUSSIA,183,73,25,C,61
CMF,S. GUZMÁN,ONCE CALDAS,COLOMBIA,177,57,21,C,61
LB,D. FOULON,WAASLAND-BEVEREN,BELGIUM,180,70,19,C,61
CB,A. ANGULO,LEONES,COLOMBIA,187,80,22,B,61
RB,J. MARULANDA,LEONES,COLOMBIA,178,70,23,C,61
RMF,J. BUITRAGO,PATRIOTAS BOYACÁ,COLOMBIA,176,70,25,C,61
GK,S. PABÓN,JUNIOR,COLOMBIA,187,76,22,C,61
DMF,J. CAICEDO,DEPORTIVO CALI,COLOMBIA,175,72,20,C,61
AMF,C. CASTAÑO,LA EQUIDAD,COLOMBIA,175,72,19,C,61
CMF,D. JIMÉNEZ,ATLÉTICO BUCARAMANGA,COLOMBIA,175,66,24,C,61
AMF,Y. REQUENA,BOYACÁ CHICÓ,VENEZUELA,164,64,24,C,61
CF,J. ARBOLEDA,BOYACÁ CHICÓ,COLOMBIA,187,75,24,C,61
LMF,D. SCHWIZER,THUN,SWITZERLAND,181,74,22,C,61
RWF,A. BAUN,HOBRO,DENMARK,193,85,23,C,61
LWF,J. SKOV HANSEN,RANDERS,DENMARK,175,75,25,C,61
CB,E. FERIGRA,TORINO,ECUADOR,175,72,19,C,61
CF,R. EDMONDSON,YORKSHIRE WHITES,ENGLAND,193,78,17,C,61
RB,J. MCMILLAN,LIVINGSTON,SCOTLAND,183,77,21,C,61

SS,S. BOYD,HAMILTON ACADEMICAL,SCOTLAND,168,62,21,C,61
GK,D. HODŽIĆ,VEJLE,CROATIA,202,80,23,C,61
GK,V. VIOT,BÉZIERS,FRANCE,183,78,24,C,61
LB,F. LAPIS,NIORT,FRANCE,183,78,25,C,61
CF,J. DAVID,GENT,CANADA,175,70,18,C,61
CB,T. BARBET,DIJON,FRANCE,180,78,17,C,61
AMF,S. ARROYAVE,LEONES,COLOMBIA,175,72,19,C,61
RMF,J. QUIÑONES,AMÉRICA DE CALI,COLOMBIA,175,72,18,C,61
CMF,K. AGUDELO,ATLÉTICO HUILA,COLOMBIA,175,72,20,C,61
AMF,B. CASTRILLÓN,INDEPENDIENTE MEDELLÍN,COLOMBIA,169,57,19,C,61
DMF,E. ABEDINI,LUGANO,SWITZERLAND,190,72,20,C,61
GK,G. ZANETTE,VEJLE,BRAZIL,189,86,21,C,61
AMF,W. ALARCÓN,COLO-COLO,CHILE,175,72,18,C,61
RB,İ. ÇOKÇALIŞ,BURSASPOR,TURKEY,170,68,18,C,61
RB,M. SARIKAYA,BURSASPOR,TURKEY,170,68,16,C,61
CF,Y. FORTUNE,SION,FRANCE,178,76,19,C,61
CF,G. SIMEONE,UNIÓN LA CALERA,ARGENTINA,183,80,20,C,61
CB,P. OUANEH,LORIENT,FRANCE,180,78,20,C,61
DMF,M. EDJOUMA,LORIENT,FRANCE,189,84,22,C,61
CMF,S. MARTIN,HAMILTON ACADEMICAL,SCOTLAND,178,74,21,C,61
CF,KIKAS,BELENENSES,PORTUGAL,177,71,20,C,61
AMF,S. VIDAL,RED STAR,FRANCE,180,78,22,C,61
CF,C. COOKE,ST. MIRREN,ENGLAND,180,78,25,C,61
AMF,D. HEYMANS,WAASLAND-BEVEREN,BELGIUM,186,78,19,C,61
DMF,M. SIBY,VALENCIENNES,FRANCE,185,78,22,C,61
DMF,K. APPIN,CERCLE BRUGGE,FRANCE,177,78,20,C,61
AMF,F. IRIE,CERCLE BRUGGE,CÔTE D'IVOIRE,175,70,20,C,61
GK,M. MINDER,NEUCHÂTEL XAMAX,SWITZERLAND,188,85,25,C,61
AMF,K. FATKIC,THUN,SLOVENIA,186,75,21,C,61
RWF,D. SALANOVIĆ,THUN,LIECHTENSTEIN,178,74,22,C,61
CF,W. JANSSENS,SINT-TRUIDEN,BELGIUM,180,78,23,C,61
GK,R. MCCRORIE,RANGERS,SCOTLAND,185,72,20,C,61

CMF,M. RODRÍGUEZ,HUACHIPATO,CHILE,175,72,18,C,61
CF,M. HOWARD,LN WHITE,ENGLAND,180,78,19,C,61
LB,J. MERLÍN,WEST GLAMORGAN CITY,ECUADOR,175,72,19,C,61
LB,C. ANTWI,NORDSJÆLLAND,GHANA,175,70,23,C,61
RMF,I. SADIQ,NORDSJÆLLAND,GHANA,175,70,18,C,61
CF,A. JAKOBSEN,VEJLE,DENMARK,180,78,19,C,61
CF,D. SULA,WAASLAND-BEVEREN,BELGIUM,185,75,20,C,61
CF,A. DOBOS,FORTUNA SITTARD,HUNGARY,169,67,18,C,61
CF,S.VAN HOOIJDONK,NAC BREDA,NETHERLANDS,180,78,18,C,61
CF,J. VON MOOS,BASEL,SWITZERLAND,179,71,17,C,61
CB,A. DAMJANAC,ROYAL EXCEL MOUSCRON,SERBIA,185,76,20,C,61
CMF,C. HERRERA,CURICÓ UNIDO,CHILE,175,72,23,C,61
CMF,E. WATT,WM GOLD,SCOTLAND,178,73,18,C,61
CF,B. ASHLEY-SEAL,WM GOLD,ENGLAND,185,78,20,C,61
DMF,A. CHERNIKOV,KRASNODAR,RUSSIA,183,74,18,C,61
GK,M. NIEVAS,ALDOSIVI,ARGENTINA,185,75,20,C,61
LMF,J.THORSTEINSSON,VENDSYSSEL,ICELAND,177,73,20,C,61
RWF,M. BASSOUAMINA,NANCY,FRANCE,172,78,20,C,61
RWF,E. KAJA,LIVINGSTON,ALBANIA,177,78,21,C,61
CF,S. DALBY,YORKSHIRE WHITES,ENGLAND,191,78,18,C,61
GK,L. VÁSQUEZ,JUNIOR,COLOMBIA,187,79,22,C,61
CB,J. ORELLANA,SAN MARTÍN TUCUMÁN,ARGENTINA,193,85,21,C,61
LMF,LUCAS RIBEIRO,VALENCIENNES,BRAZIL,175,72,20,C,61
LB,L. CZYBORRA,HERACLES,GERMANY,178,72,19,C,61
DMF,C. DOUCOURE,RC LENS,MALI,180,70,18,C,61
CMF,N. SIMON,RC LENS,FRANCE,171,78,18,C,61
GK,D. BOCHICCHIO,SPORTING CHARLEROI,ITALY,180,78,20,C,61
GK,A. OXBOROUGH,NORFOLK CITY,ENGLAND,196,78,20,C,61
RMF,W. BALIKWISHA,STANDARD LIÈGE,BELGIUM,180,78,19,C,61
AMF,F. CINKAYA,RİZESPOR,TURKEY,170,68,18,C,61
RB,Y. ROSALES,RIONEGRO ÁGUILAS,COLOMBIA,175,72,18,C,61
CB,J. QUIÑÓNES,ATLÉTICO BUCARAMANGA,COLOMBIA,175,72,21,B,61

CB,A. MOHAMMED,ARSENAL TULA,GHANA,181,75,22,C,61
LMF,M. SKJELLERUP,HOBRO,DENMARK,180,78,22,C,61
AMF,R. LAUWERS,WILLEM II,NETHERLANDS,180,78,19,C,61
CB,D. KOITA,GUINGAMP,FRANCE,180,78,19,C,61
CMF,A. BASTIAANS,VVV,NETHERLANDS,180,78,16,C,61
AMF,B. DURDU,YENİ MALATYASPOR,GERMANY,172,68,20,C,61
CB,J. GALETTO,PATRONATO,ARGENTINA,175,72,22,C,61
CMF,F. DURMUŞ,SİVASSPOR,TURKEY,170,68,19,C,61
CB,E. PANTELAKIS,PANATHINAIKOS,GREECE,187,78,23,C,61
GK,A. GAUDUCHEAU,AMIENS SC,FRANCE,180,78,19,C,61
RB,V. GENDREY,AMIENS SC,FRANCE,180,78,18,C,61
LB,S. SY,AMIENS SC,FRANCE,180,78,19,C,61
LB,ADRIÀ PEDROSA,CT BLUE WHITE,SPAIN,176,69,20,C,61
CB,S. TEKA,RC LENS,TUNISIA,182,70,27,C,61
AMF,G. BOTOS,AEK ATHENS,GREECE,172,69,18,C,61
CF,M. KAUFMANN,AAB,DENMARK,190,78,17,C,61
CMF,S. KELLY,RANGERS,SCOTLAND,180,78,18,C,61
GK,W. HUFFER,YORKSHIRE WHITES,ENGLAND,187,85,20,C,61
AMF,Y. VALBUENA,INDEPENDIENTE MEDELLÍN,COLOMBIA,175,72,21,C,61
LB,J. BEDNARCZYK,BAYER LEVERKUSEN,POLAND,184,70,19,C,61
CB,S. KARIM,CL PURPLE,GHANA,175,70,19,C,61
CF,M. DE LA FUENTE,CL PURPLE,SPAIN,180,77,19,C,61
CMF,Y. PUERTA,ENVIGADO,COLOMBIA,175,72,21,C,61
CF,F. BURITICÁ,ENVIGADO,COLOMBIA,175,72,19,C,61
LWF,M. JUWARA,CHIEVO,GAMBIA,170,60,17,C,61
GK,T. VERMOT,SAINT-ÉTIENNE,FRANCE,180,78,21,C,61
CMF,N. OFOBORH,EAST DORSETSHIRE,NIGERIA,183,77,19,C,61
CB,B. COOPER,WEST GLAMORGAN CITY,WALES,175,69,18,C,61
RB,T. REID,WEST GLAMORGAN CITY,ENGLAND,176,69,21,C,61
LWF,L. CULLEN,WEST GLAMORGAN CITY,WALES,170,78,19,C,61
AMF,K. RÍOS,AMÉRICA DE CALI,COLOMBIA,175,72,19,C,61
CF,M. CANDLIN,LANCASHIRE BLUE,ENGLAND,184,74,18,C,61

CB,M. JENSEN,AAB,DENMARK,190,78,17,C,61
DMF,E. OCAMPO,ONCE CALDAS,COLOMBIA,175,72,19,C,61
GK,R. MYSAK,AGF,UKRAINE,189,83,27,C,61
CB,I. RICE,SOUTH YORKSHIRE BLUES,ENGLAND,178,65,18,C,61
CMF,J. VERGARA,PATRIOTAS BOYACÁ,COLOMBIA,175,72,18,C,61
CF,ROBERTO LÓPEZ,PV BLUE WHITE,SPAIN,180,62,18,C,61
CMF,K. MONLOUIS,HAMILTON ACADEMICAL,ENGLAND,182,73,22,C,61
CMF,ABDULAZIZ HATEM,AL GHARAFA,QATAR,178,72,28,C,61
CMF,DANIEL GOUMA,AL RAYYAN,QATAR,171,69,28,C,61
AMF,A. AL DIRI,AL GHARAFA,QATAR,173,65,24,C,61
GK,SALEM ABDULLA,AL WASL,UNITED ARAB EMIRATES,184,78,34,C,61
DMF,A. EL SAYED,AL RAYYAN,QATAR,178,73,28,C,61
LB,YOUSUF MUFTAH,AL GHARAFA,QATAR,165,64,30,C,61
CF,YOUSEF AHMAD,AL AIN,UNITED ARAB EMIRATES,172,67,24,C,61
CF,A. MOTAHARI,TRACTORSAZI TABRIZ,IRAN,189,84,25,C,61
CMF,A. NOUROLLAHI,PERSEPOLIS,IRAN,185,74,25,C,61
CMF,MOHSEN ABDULLAH,AL AIN,UNITED ARAB EMIRATES,161,80,23,C,61
CMF,MOHAMMED HELAL,AL WAHDA,UNITED ARAB EMIRATES,166,58,21,C,61
CMF,SULAIMAN NASSER,AL AIN,UNITED ARAB EMIRATES,160,58,21,C,61
CB,H. MOHAMMADI,TRACTORSAZI TABRIZ,IRAN,185,79,27,C,61
CB,Y. A. ESSA,AL SADD,QATAR,180,80,26,C,61
LB,S. NIGRO,MELBOURNE VICTORY,AUSTRALIA,181,70,22,C,61
GK,H. A. NASSER,AL AIN,UNITED ARAB EMIRATES,178,61,22,C,61
CF,JIN SUNG-WOOK,JEJU UNITED,REPUBLIC OF KOREA,182,82,25,C,61
DMF,KIM GEON-WOONG,ULSAN HYUNDAI FC,REPUBLIC OF KOREA,188,81,21,C,61
GK,CHO SOO-HYUK,ULSAN HYUNDAI FC,REPUBLIC OF KOREA,187,80,31,C,61
DMF,ZHANG HUACHEN,SHANGHAI SIPG,CHINA,175,67,20,C,61
RWF,LI SHENGLONG,SHANGHAI SIPG,CHINA,181,75,26,C,61
CMF,LEI WENJIE,SHANGHAI SIPG,CHINA,184,80,21,C,61
CMF,GAO HAISHENG,SHANGHAI SIPG,CHINA,183,73,21,C,61
DMF,A. TANAKA,KAWASAKI FRONTALE,JAPAN,177,69,20,C,61
SS,J. ANSARI,ESTEGHLAL,IRAN,170,68,31,C,61

CMF,A. ABDULSALAM,AL DUHAIL,QATAR,175,68,21,C,61
LMF,WANG WEI,SHANGHAI SHENHUA,CHINA,183,75,29,C,61
GK,CHEN WEI,SHANGHAI SIPG,CHINA,187,81,20,C,61
CF,GAO ZHIJIE,SHANGHAI SIPG,CHINA,186,75,21,C,61
GK,S. MOGI,CEREZO OSAKA,JAPAN,195,80,19,C,61
LWF,M. GHAYEDI,ESTEGHLAL,IRAN,164,68,20,C,61
CMF,S. HOSSEINPOUR,PERSEPOLIS,IRAN,177,68,20,C,61
CMF,LEE DONG-HEE,JEJU UNITED,REPUBLIC OF KOREA,181,72,22,C,61
RWF,BAE IL-HWAN,JEJU UNITED,REPUBLIC OF KOREA,180,75,30,C,61
CF,LEE CHANG-HOON,JEJU UNITED,REPUBLIC OF KOREA,187,88,23,C,61
CF,H. YAMADA,CEREZO OSAKA,JAPAN,181,69,18,C,61
CB,YUN JI-HYEOK,JEONBUK HYUNDAI MOTORS,REPUBLIC OF KOREA,189,68,20,C,61
CF,K. SAGDULLAEV,NASAF,UZBEKISTAN,180,78,18,C,61
LMF,M. SARAKHAM,BURIRAM UNITED,THAILAND,178,68,19,C,61
CB,SALEH HALABI,AL DUHAIL,QATAR,170,68,18,C,61
LWF,HOSSEINALIZADEH,TRACTORSAZI TABRIZ,IRAN,174,68,20,C,61
GK,R. SEIFAHMADI,TRACTORSAZI TABRIZ,IRAN,188,68,19,C,61
CMF,LAM KA WAI,KITCHEE,HONG KONG,170,68,33,C,61
AMF,S. BUDDLE,KITCHEE,ENGLAND,180,65,19,C,61
CB,CHAU HIN SHING,KITCHEE,HONG KONG,170,68,18,C,61
CF,SANDRO,KITCHEE,HONG KONG,189,70,31,C,61
CMF,Y. AL HARBI,AL AHLI,SAUDI ARABIA,169,68,21,C,61
AMF,A. KALIK,SYDNEY FC,AUSTRALIA,176,72,21,C,61
DMF,P. RETRE,SYDNEY FC,AUSTRALIA,170,63,25,C,61
RB,SAEED ALHAJ,AL GHARAFA,QATAR,178,70,26,C,61
CF,KHALED ALYAZIDI,AL SADD,QATAR,170,68,23,C,61
GK,MESHAAL BARSHAM,AL SADD,QATAR,170,68,20,C,61
CMF,M. ABDULWAHHAB,AL SADD,QATAR,170,68,19,C,61
CMF,ADNAN AL SAYED,AL SADD,QATAR,170,68,23,C,61
CMF,AHMED AL-JALHAM,AL SADD,QATAR,170,68,23,C,61
CMF,SAUOUD EBRAHIM,AL SADD,QATAR,168,60,30,C,61
RWF,H. GAFUROV,LOKOMOTIV,UZBEKISTAN,176,72,24,C,61

CF,I. BIKMAYKIN,LOKOMOTIV,UZBEKISTAN,180,78,22,C,61
CMF,HMOUD AL-AMERI,AL AIN,UNITED ARAB EMIRATES,170,68,23,C,61
RB,XU YOUGANG,SHANGHAI SHENHUA,CHINA,180,68,22,C,61
CF,JEON SE-JIN,SUWON SAMSUNG BLUEWINGS,REPUBLIC OF KOREA,182,68,19,C,61
CB,KIM SEUNG-WOO,JEJU UNITED,REPUBLIC OF KOREA,185,75,23,C,61
CF,F. NIMANI,NEUCHÂTEL XAMAX,FRANCE,191,87,30,C,60
CF,G. ŢUCUDEAN,Free Agents,ROMANIA,183,75,27,C,60
CB,W. DÍAZ,JAGUARES DE CÓRDOBA,COLOMBIA,178,75,40,B,60
LB,ELÍZIO,NACIONAL,BRAZIL,176,70,30,C,60
LMF,W. JOBELLO,GAZÉLEC AJACCIO,FRANCE,180,68,24,C,60
LB,L. KRUSPZKY,ALDOSIVI,ARGENTINA,177,74,26,C,60
CF,C. ESCOBAR,SAN LUIS,CHILE,183,75,29,C,60
GK,W. CUESTA,DEPORTES TOLIMA,COLOMBIA,195,87,25,C,60
RB,O. THRELKELD,WAASLAND-BEVEREN,ENGLAND,184,78,24,C,60
GK,F. SOLLACARO,AJACCIO,FRANCE,178,78,24,C,60
CMF,ANUAR TUHAMI,CL PURPLE,SPAIN,172,63,23,C,60
CB,RAFA PÁEZ,SOCHAUX,SPAIN,192,80,24,C,60
CF,M. MADRI,RC LENS,FRANCE,177,65,28,C,60
CB,K. QUENUM,VALENCIENNES,FRANCE,180,80,25,C,60
CB,IAGO MAIDANA,ATLÉTICO MINEIRO,BRAZIL,195,80,22,C,60
GK,F. ALTAMIRANO,BANFIELD,COLOMBIA,185,78,22,C,60
GK,J. BLASWICH,HERACLES,GERMANY,193,88,27,C,60
LB,N. SENZEMBA,SOCHAUX,FRANCE,180,72,22,C,60
CMF,KAIO PANTALEÃO,SANTA CLARA,BRAZIL,180,80,23,C,60
GK,D. ALAMPASU,FEIRENSE,NIGERIA,199,82,22,C,60
CMF,J. MONSALVE,ALIANZA PETROLERA,VENEZUELA,173,72,20,C,60
CF,HEPBURN-MURPHY,WEST MIDLANDS VILLAGE,ENGLAND,173,81,20,C,60
CF,ANDRÉ LUIS,CHAVES,BRAZIL,184,70,24,C,60
LMF,R. MELENDEZ,AUDAX ITALIANO,CHILE,178,67,20,C,60
GK,D. CASTILLO,UNIV. CONCEPCIÓN,CHILE,181,78,28,C,60
GK,A. PALMER,WEST MIDLANDS STRIPES,ENGLAND,183,72,22,C,60
RWF,N. ANDREEV,ANZHI,RUSSIA,177,61,21,C,60

GK,A. LONG,SOCHAUX,FRANCE,185,80,21,C,60
RB,J. DA COSTA,NIORT,FRANCE,180,80,22,C,60
GK,F. ESCALES,OLYMPIQUE MARSEILLE,FRANCE,184,78,22,C,60
SS,G. DEL CASTILLO,NEWELL'S OLD BOYS,ARGENTINA,167,71,21,C,60
GK,G. SATALINO,SASSUOLO,ITALY,188,75,19,C,60
GK,D. VAN CROOIJ,VVV,NETHERLANDS,182,71,27,C,60
LB,REGUILÓN,MD WHITE,SPAIN,180,67,22,C,60
LB,G. LEIGH,NAC BREDA,ENGLAND,181,73,24,C,60
GK,J. TEUNCKENS,ANTWERP,BELGIUM,186,76,20,C,60
GK,G. BANAZIAK,AMIENS SC,FRANCE,183,68,21,C,60
CB,R. SENHADJI,SOCHAUX,FRANCE,185,80,21,C,60
CMF,MANU MORLANES,ED YELLOW,SPAIN,175,78,19,C,60
CMF,L. AREAL,ALDOSIVI,ARGENTINA,180,70,22,C,60
GK,A. FISHER,LANCASHIRE BLUE,ENGLAND,189,73,20,C,60
GK,A. WHITEMAN,NORTH EAST LONDON,ENGLAND,189,84,20,C,60
CF,W. TCHUAMENI,SØNDERJYSKE,CAMEROON,192,78,22,C,60
CB,FERNANDO CALERO,CL PURPLE,SPAIN,183,69,23,C,60
CF,P. HAMEL,LORIENT,FRANCE,185,67,24,C,60
CMF,C. GRANDÓN,DEPORTES TEMUCO,CHILE,175,72,19,C,60
CB,I. AANEBA,STRASBOURG,FRANCE,180,78,19,C,60
GK,G. POLUZZI,SPAL,ITALY,186,84,30,C,60
CF,J. ROMERO,ATLÉTICO TUCUMÁN,ARGENTINA,159,59,18,C,60
CF,JAPA,CHAPECOENSE,BRAZIL,185,72,21,C,60
GK,J. TURNER,NW WHITE BLACK,ENGLAND,180,77,19,C,60
CMF,J. EARING,NW WHITE BLACK,ENGLAND,182,80,19,C,60
RB,D. INGHAM,Free Agents,NEW ZEALAND,175,65,19,C,60
RB,M. PANOS,SAINT-ÉTIENNE,FRANCE,181,79,21,C,60
AMF,C. DIAZ,CURICÓ UNIDO,CHILE,175,72,23,C,60
LB,K. COLVEY,Free Agents,NEW ZEALAND,178,73,24,C,60
CB,CHORBADZHIYSKI,Free Agents,BULGARIA,192,80,23,C,60
GK,F. VÉLEZ,INDEPENDIENTE,ARGENTINA,188,85,21,C,60
CB,D. TCHAMBA,STRASBOURG,CAMEROON,175,70,20,C,60

GK,R. CORDANO,Free Agents,BOLIVIA,181,74,20,C,60
LMF,N. HOLLAND,EAST LONDON,ENGLAND,178,70,20,C,60
LMF,D. BECKER,ROSARIO CENTRAL,ARGENTINA,169,66,21,C,60
RB,FERNANDO C.,LILLE,BRAZIL,184,73,20,C,60
